Card Title,Card Href,Extension ID,Page Title,Updated Date,Version,Offered By,Number of Users,Rating,Total Ratings
Dwi - Twitch voice notes,https://chromewebstore.google.com/detail/dwi-twitch-voice-notes/oebhalkjebodiplmknemmkdihmbalhdi,oebhalkjebodiplmknemmkdihmbalhdi,Dwi - Twitch voice notes,"January 2, 2024",0.1.5,N/A,163,4.8,43 ratings
Kommodo Screen Recorder & SOP,https://chromewebstore.google.com/detail/kommodo-screen-recorder-s/kodipildlgjdkoeokgibdlighekmebcg,kodipildlgjdkoeokgibdlighekmebcg,Kommodo Screen Recorder & SOP,"December 10, 2025",2.9.4,Komodo Technologies,"30,000",4.7,81 ratings
FlowCrypt: Encrypt Gmail with PGP,https://chromewebstore.google.com/detail/flowcrypt-encrypt-gmail-w/bnjglocicdkmhmoohhfkfkbbkejdhdgc,bnjglocicdkmhmoohhfkfkbbkejdhdgc,FlowCrypt: Encrypt Gmail with PGP,"January 8, 2026",8.5.13,FlowCrypt a. s.,"80,000",4.7,360 ratings
DeepL: translate and write with AI,https://chromewebstore.google.com/detail/deepl-translate-and-write/cofdbpoegempjloogbagkncekinflcnj,cofdbpoegempjloogbagkncekinflcnj,DeepL: translate and write with AI,"January 12, 2026",1.70.0,DeepL,"4,000,000",4.7,12.1K ratings
MailTracker: Email tracker for Gmail,https://chromewebstore.google.com/detail/mailtracker-email-tracker/pgbdljpkijehgoacbjpolaomhkoffhnl,pgbdljpkijehgoacbjpolaomhkoffhnl,MailTracker: Email tracker for Gmail,"January 7, 2026",2.4.7,"Mail Automation, Inc.","100,000",4.7,5K ratings
"Voila – AI Assistant, Copilot and AI Writer",https://chromewebstore.google.com/detail/voila-%E2%80%93-ai-assistant-copi/cakobppopkpmmglabcdcklncbckjpkcl,cakobppopkpmmglabcdcklncbckjpkcl,"Voila – AI Assistant, Copilot and AI Writer","October 17, 2025",1.7.9,Initial condition s.r.o.,"80,000",4.7,213 ratings
AI Email Assistant,https://chromewebstore.google.com/detail/ai-email-assistant/loclkojldkjladfhbngilnhbeffbkgdm,loclkojldkjladfhbngilnhbeffbkgdm,AI Email Assistant,"January 8, 2026",1.33.0,Mailmeteor,"50,000",4.7,129 ratings
Gmail Free Online Polls & Surveys by cloudHQ,https://chromewebstore.google.com/detail/gmail-free-online-polls-s/pdobhpebaieggeagodjmocmfjjiomcok,pdobhpebaieggeagodjmocmfjjiomcok,Gmail Free Online Polls & Surveys by cloudHQ,"November 29, 2025",1.0.1.5,cloudHQ LLC,"10,000",4.7,17 ratings
MailMagic AI assistant for Youtube comments,https://chromewebstore.google.com/detail/mailmagic-ai-assistant-fo/ooikkeffocjeeignoacghpcniiglflgb,ooikkeffocjeeignoacghpcniiglflgb,MailMagic AI assistant for Youtube comments,"August 29, 2025",0.1.2,9361-9195 Quebec Inc,866,4.7,20 ratings
Gan.AI - Free Screen & Camera Recorder,https://chromewebstore.google.com/detail/ganai-free-screen-camera/ilbgkfmhfigfdabdhjpjcabmfplmomld,ilbgkfmhfigfdabdhjpjcabmfplmomld,Gan.AI - Free Screen & Camera Recorder,"April 25, 2025",1.5.1,gan.ai,"2,000",4.7,13 ratings
Paced Email,https://chromewebstore.google.com/detail/paced-email/ebefdbfinfikmdalikkpbjfijkglgeid,ebefdbfinfikmdalikkpbjfijkglgeid,Paced Email,"March 31, 2025",3.0.2,Jemcode Limited,"1,000",4.7,13 ratings
Auto Label for Google Gmail™ by cloudHQ,https://chromewebstore.google.com/detail/auto-label-for-google-gma/gdadckddcgbbopndmccfoibflnoeinca,gdadckddcgbbopndmccfoibflnoeinca,Auto Label for Google Gmail™ by cloudHQ,"November 29, 2025",1.0.1.2,cloudHQ LLC,"3,000",4.7,16 ratings
QuillBot: AI Writing and Grammar Checker Tool,https://chromewebstore.google.com/detail/quillbot-ai-writing-and-g/iidnbdjijdkbmajdffnidomddglmieko,iidnbdjijdkbmajdffnidomddglmieko,QuillBot: AI Writing and Grammar Checker Tool,"January 12, 2026",4.53.1,"QuillBot (Course Hero), LLC","5,000,000",4.7,3.9K ratings
ChatGPT AI assistant for LinkedIn™,https://chromewebstore.google.com/detail/chatgpt-ai-assistant-for/doflnonadfccnohhccjoholpmlibhjnd,doflnonadfccnohhccjoholpmlibhjnd,ChatGPT AI assistant for LinkedIn™,"July 20, 2025",0.1.9,9361-9195 Quebec Inc,253,4.7,12 ratings
Email signature generator,https://chromewebstore.google.com/detail/email-signature-generator/pkklhocebkkoglfnghnfnpokjanbbcfo,pkklhocebkkoglfnghnfnpokjanbbcfo,Email signature generator,"February 20, 2024",0.0.3,email-signature-generator.online,"2,000",4.7,6 ratings
Dadan - Screen Recording & Annotation Tool,https://chromewebstore.google.com/detail/dadan-screen-recording-an/oagkbgolfdnkknkjomnggnhmnlfmgdod,oagkbgolfdnkknkjomnggnhmnlfmgdod,Dadan - Screen Recording & Annotation Tool,"January 6, 2026",5.0.3,dadan.io,"8,000",4.7,44 ratings
Canned Responses & Company Wiki - Klutch,https://chromewebstore.google.com/detail/canned-responses-company/iinfjdloicbbgbdliglpofadahlmgjop,iinfjdloicbbgbdliglpofadahlmgjop,Canned Responses & Company Wiki - Klutch,"July 28, 2025",5.0.1,klutch.app,"3,000",4.7,49 ratings
MasterTube,https://chromewebstore.google.com/detail/mastertube/ebenecbhjmfnidklknaigagobpjppdna,ebenecbhjmfnidklknaigagobpjppdna,MasterTube,"November 28, 2025",2.0.8,master.tube,N/A,4.6,17 ratings
Tables for Gmail™ by cloudHQ,https://chromewebstore.google.com/detail/tables-for-gmail-by-cloud/pkgjbjdolcdbpmddccngjdijegfokdgi,pkgjbjdolcdbpmddccngjdijegfokdgi,Tables for Gmail™ by cloudHQ,"November 29, 2025",1.0.2.8,cloudHQ LLC,"20,000",4.6,14 ratings
Email Sender Icons by cloudHQ,https://chromewebstore.google.com/detail/email-sender-icons-by-clo/ggmjpbolghodajmlbemkmflffcnfjgeb,ggmjpbolghodajmlbemkmflffcnfjgeb,Email Sender Icons by cloudHQ,"November 29, 2025",1.0.1.3,cloudHQ LLC,"1,000",4.6,14 ratings
Code Medium,https://chromewebstore.google.com/detail/code-medium/dganoageikmadjocbmklfgaejpkdigbe,dganoageikmadjocbmklfgaejpkdigbe,Code Medium,"March 18, 2025",0.7.0,https://manueldellelce.com/,"1,000",4.6,22 ratings
Twitch Pronouns (alejo.io for 7TV),https://chromewebstore.google.com/detail/twitch-pronouns-alejoio-f/oopijecdbdhhlmehnoedmbllkbeomddd,oopijecdbdhhlmehnoedmbllkbeomddd,Twitch Pronouns (alejo.io for 7TV),"October 1, 2023",1.0.2,N/A,"5,000",4.6,11 ratings
WA Audio to Text | WPPME.COM,https://chromewebstore.google.com/detail/wa-audio-to-text-wppmecom/lkblcdhccdkhofdbghemdbflainkkphl,lkblcdhccdkhofdbghemdbflainkkphl,WA Audio to Text | WPPME.COM,"January 10, 2026",4.2.11,wppme.com,"1,000",4.6,151 ratings
Quick Look Inbox for Gmail,https://chromewebstore.google.com/detail/quick-look-inbox-for-gmai/kpjfeffjdlhdafohanbfpjjbmgjpaohp,kpjfeffjdlhdafohanbfpjjbmgjpaohp,Quick Look Inbox for Gmail,"August 25, 2023",0.0.23,guokai.dev,"1,000",4.6,8 ratings
Gmail Button by cloudHQ,https://chromewebstore.google.com/detail/gmail-button-by-cloudhq/bpcebgbjhnmhmjdgiofmphaplgpfkpco,bpcebgbjhnmhmjdgiofmphaplgpfkpco,Gmail Button by cloudHQ,"November 29, 2025",1.0.2.8,cloudHQ LLC,"30,000",4.6,46 ratings
Free Screencast Recording for Gmail,https://chromewebstore.google.com/detail/free-screencast-recording/obdimfiookbifhhceegpeeahidplcccp,obdimfiookbifhhceegpeeahidplcccp,Free Screencast Recording for Gmail,"January 10, 2026",1.0.2.2,cloudHQ LLC,"10,000",4.6,61 ratings
Gruveo Instant Connect,https://chromewebstore.google.com/detail/gruveo-instant-connect/jlongfhigcebblbebgmpobcgjhlhegcc,jlongfhigcebblbebgmpobcgjhlhegcc,Gruveo Instant Connect,"June 10, 2024",1.6.0,"Gruveo, s.r.o.","1,000",4.6,22 ratings
Loom – Screen Recorder & Screen Capture,https://chromewebstore.google.com/detail/loom-%E2%80%93-screen-recorder-sc/liecbddmkiiihnedobmlmillhodjkdmb,liecbddmkiiihnedobmlmillhodjkdmb,Loom – Screen Recorder & Screen Capture,"January 7, 2026",5.5.163,loom.com,"8,000,000",4.6,10.2K ratings
Tab Translate,https://chromewebstore.google.com/detail/tab-translate/khepfpojckhooicloeheemlhcljpjcjg,khepfpojckhooicloeheemlhcljpjcjg,Tab Translate,"December 20, 2025",1.3.9,https://tabtranslate.com/,"20,000",4.6,43 ratings
MailKing: Email Campaigns in Gmail by cloudHQ,https://chromewebstore.google.com/detail/mailking-email-campaigns/igmjjjikokpgjnckgfcallenihoeabnk,igmjjjikokpgjnckgfcallenihoeabnk,MailKing: Email Campaigns in Gmail by cloudHQ,"November 29, 2025",1.0.2.4,cloudHQ LLC,"10,000",4.6,121 ratings
Private Grammar Checker - Harper,https://chromewebstore.google.com/detail/private-grammar-checker-h/lodbfhdipoipcjmlebjbgmmgekckhpfb,lodbfhdipoipcjmlebjbgmmgekckhpfb,Private Grammar Checker - Harper,"January 9, 2026",1.4.1,writewithharper.com,"10,000",4.6,21 ratings
Reply Guy - Free AI Reply Generator,https://chromewebstore.google.com/detail/reply-guy-free-ai-reply-g/fggbmmhkkidgjimgdkaelpnbgjoihlem,fggbmmhkkidgjimgdkaelpnbgjoihlem,Reply Guy - Free AI Reply Generator,"January 12, 2026",4.1.2,badgesextensions.com,167,4.6,16 ratings
NeetoRecord - Screen & Webcam Recorder,https://chromewebstore.google.com/detail/neetorecord-screen-webcam/ljmncfcjgfjogaelciimcgnogdbpbkoh,ljmncfcjgfjogaelciimcgnogdbpbkoh,NeetoRecord - Screen & Webcam Recorder,"January 8, 2026",1.4.7,N/A,"4,000",4.6,18 ratings
